"PRODUCT_ID","BASKET_ID","DEPARTMENT","COMMODITY_DESC"
27021,30754188706,"GROCERY","AIR CARE"
27158,29872791599,"GROCERY","ICE CREAM/MILK/SHERBTS"
27158,30945992558,"GROCERY","ICE CREAM/MILK/SHERBTS"
27158,30754188706,"GROCERY","ICE CREAM/MILK/SHERBTS"
27158,29776317638,"GROCERY","ICE CREAM/MILK/SHERBTS"
27158,30178790946,"GROCERY","ICE CREAM/MILK/SHERBTS"
27479,30590802826,"GROCERY","BAKED BREAD/BUNS/ROLLS"
27658,29531116865,"GROCERY","BAKED BREAD/BUNS/ROLLS"
28041,32733327135,"SEAFOOD-PCKGD","SEAFOOD - FROZEN"
28272,30754188706,"GROCERY","FLUID MILK PRODUCTS"
28513,35003632459,"GROCERY","DRY BN/VEG/POTATO/RICE"
28966,27771857605,"GROCERY","EGGS"
29252,35003632459,"GROCERY","DRY BN/VEG/POTATO/RICE"
29825,35003632459,"GROCERY","DRY BN/VEG/POTATO/RICE"
29996,35003632459,"GROCERY","DRY BN/VEG/POTATO/RICE"
30177,33170877635,"GROCERY","BAG SNACKS"
30356,41355173952,"DRUG GM","KITCHEN GADGETS"
30613,42142311779,"GROCERY","CONVENIENT BRKFST/WHLSM SNACKS"
31534,29144608214,"GROCERY","SHORTENING/OIL"
31534,29302837658,"GROCERY","SHORTENING/OIL"
31681,29776315965,"PASTRY","COOKIES"
32124,31911155580,"GROCERY","SOFT DRINKS"
32124,31204545817,"GROCERY","SOFT DRINKS"
32124,27496106798,"GROCERY","SOFT DRINKS"
32124,35846342418,"GROCERY","SOFT DRINKS"
32247,32209327507,"PASTRY","CAKES"
32384,27771857605,"GROCERY","BAKED BREAD/BUNS/ROLLS"
32392,41655820646,"DRUG GM","FIRST AID PRODUCTS"
32457,27471976071,"GROCERY","CANNED JUICES"
32916,33170877635,"GROCERY","FLUID MILK PRODUCTS"
33247,40414667703,"GROCERY","BAG SNACKS"
33247,33170877635,"GROCERY","BAG SNACKS"
33522,40771486937,"NUTRITION","JUICE"
34187,27855955496,"DRUG GM","IRONING AND CHEMICALS"
34703,31806687698,"GROCERY","COOKIES/CONES"
34873,41655820646,"GROCERY","FLUID MILK PRODUCTS"
34873,32055927313,"GROCERY","FLUID MILK PRODUCTS"
34873,35704195124,"GROCERY","FLUID MILK PRODUCTS"
34873,42012308423,"GROCERY","FLUID MILK PRODUCTS"
34873,31427002805,"GROCERY","FLUID MILK PRODUCTS"
34873,35846342418,"GROCERY","FLUID MILK PRODUCTS"
34873,40439012272,"GROCERY","FLUID MILK PRODUCTS"
35331,27471976071,"GROCERY","VEGETABLES - SHELF STABLE"
35331,31911155580,"GROCERY","VEGETABLES - SHELF STABLE"
35331,31204545817,"GROCERY","VEGETABLES - SHELF STABLE"
35331,35846342418,"GROCERY","VEGETABLES - SHELF STABLE"
35331,32826516981,"GROCERY","VEGETABLES - SHELF STABLE"
35331,30912300033,"GROCERY","VEGETABLES - SHELF STABLE"
35331,32209327507,"GROCERY","VEGETABLES - SHELF STABLE"
35510,31204545817,"GROCERY","CRACKERS/MISC BKD FD"
35510,32209327507,"GROCERY","CRACKERS/MISC BKD FD"
35510,32826516981,"GROCERY","CRACKERS/MISC BKD FD"
35510,33682991526,"GROCERY","CRACKERS/MISC BKD FD"
35510,40499462973,"GROCERY","CRACKERS/MISC BKD FD"
35510,30178790946,"GROCERY","CRACKERS/MISC BKD FD"
36618,27471976071,"GROCERY","MEAT - SHELF STABLE"
36880,41881398493,"GROCERY","CRACKERS/MISC BKD FD"
37756,30541077983,"GROCERY","ICE CREAM/MILK/SHERBTS"
37913,35704195124,"GROCERY","BAKED SWEET GOODS"
38085,29531116865,"GROCERY","CHEESE"
40479,32718722056,"DRUG GM","CANDY - PACKAGED"
